Ob_ID,X,Y,2013 Yield,2014 Yield,2016 Yield,3 Yr Average Yield,Deep EC,Shallow EC,Average EC,Elevation,Slope,2016 Spring SM,2016 Fall SM,2016 Average SM,2017 Spring SM,2018 Spring SM,2019 Spring SM,(aSM-wp)/(fc-wp),Change in SM,Average Spring SM 2016-2019,PCA1,Log10_Yld16,Log_avEC,LogSlope,logElevation,SqrtYld16,16Yld^2
36,435710.1,4718137,5.426029,3.217233,6.143058,4.928773,9.701038,14.00198,11.85151,1712.044,4.230828,37.75443,8.809485,18.39218,37.87177,21.53199,37.6464,0.2395978,28.94494,24.36493,-2.914011,0.7883846,1.073774,0.6264254,3.233515,2.478519,37.73716
37,435715.1,4718137,5.884222,3.555757,7.809152,5.74971,11.02625,15.34178,13.18401,1711.952,4.146336,37.68468,8.796314,18.23938,37.57686,21.53743,37.54322,0.2336003,28.88837,24.2743,-1.956859,0.8926039,1.120048,0.6176645,3.233492,2.794486,60.98285
38,435720.1,4718137,5.614496,4.009373,8.676153,6.100007,13.53785,17.05707,15.29746,1711.834,4.059807,37.61088,8.811603,18.24602,37.29773,21.53853,37.4085,0.2337925,28.79928,24.18544,-1.36027,0.9383272,1.184619,0.6085054,3.233462,2.945531,75.27563
39,435725.1,4718137,5.854516,4.252013,9.687415,6.597981,15.57166,19.03279,17.30222,1711.796,3.977217,37.54462,8.869837,18.24464,37.02919,21.54036,37.23456,0.2334651,28.67478,24.10126,-0.7210742,0.9862079,1.238102,0.5995793,3.233452,3.112461,93.84601
40,435730.1,4718137,5.76931,4.557138,7.872878,6.066442,17.32196,21.09518,19.20857,1711.782,3.90935,37.47521,8.925982,18.24354,36.78894,21.53483,37.01599,0.2328667,28.54923,24.02157,-1.522916,0.8961335,1.283495,0.5921046,3.233448,2.805865,61.98221
41,435735,4718137,5.71024,4.748438,7.758792,6.07249,18.56406,22.96618,20.76512,1711.786,3.863782,37.40706,8.977311,18.24274,36.57608,21.52624,36.75699,0.232127,28.42975,23.94832,-1.496991,0.8897941,1.317334,0.5870126,3.233449,2.785461,60.19885
42,435740,4718137,5.19304,4.88065,7.284658,5.786116,20.39035,24.69133,22.54084,1711.792,3.854605,37.35835,9.024556,18.24228,36.3915,21.51317,36.51685,0.2317473,28.33379,23.88588,-1.657854,0.8624092,1.35297,0.5859799,3.233451,2.699011,53.06624
43,435745,4718137,5.051857,4.860907,7.848015,5.92026,22.10846,25.49896,23.80371,1711.807,3.89859,37.32824,9.076939,18.30426,36.24972,21.48989,36.41598,0.2344008,28.2513,23.83707,-1.341352,0.8947598,1.376645,0.5909076,3.233455,2.801431,61.59134
44,435750,4718137,5.140649,4.839884,8.290501,6.090345,22.68655,25.65622,24.17139,1711.822,4.005038,37.30163,9.108027,18.30514,36.18724,21.45071,36.35096,0.2339622,28.1936,23.80483,-1.14854,0.9185808,1.383302,0.6026066,3.233459,2.879323,68.73241
45,435755,4718137,5.308239,4.86315,8.496007,6.222465,22.17457,24.63104,23.40281,1711.809,4.167288,37.27922,8.779613,18.07245,36.17088,21.41963,36.36119,0.2240297,28.49961,23.78766,-1.137323,0.9292149,1.369268,0.6198535,3.233455,2.914791,72.18213
